name,province,country,description,cover_image,latitude,longitude
洛阳,河南省,中国,,,34.619702,112.453895
漯河,河南省,中国,,,33.58038,114.0166
南阳,河南省,中国,,,33.016102,112.584753
信阳,河南省,中国,,,32.148624,114.091058
濮阳,河南省,中国,,,35.762731,115.029246
三门峡,河南省,中国,,,34.773196,111.200482
济源,河南省,中国,,,35.069057,112.602347
许昌,河南省,中国,,,34.03732,113.852004
焦作,河南省,中国,,,35.215726,113.241902
开封,河南省,中国,,,34.798083,114.314278
商丘,河南省,中国,,,34.415165,115.656358
驻马店,河南省,中国,,,33.014038,114.021988
安阳,河南省,中国,,,36.098779,114.39248
鹤壁,河南省,中国,,,35.748329,114.297305
新乡,河南省,中国,,,35.303589,113.92679
平顶山,河南省,中国,,,33.766554,113.192595
郑州,河南省,中国,,,34.746303,113.625351
周口,河南省,中国,,,33.634652,114.701222
汕头,广东省,中国,,,23.354152,116.681956
佛山,广东省,中国,,,23.021351,113.121586
肇庆,广东省,中国,,,23.047747,112.465245
惠州,广东省,中国,,,23.112368,114.415587
深圳,广东省,中国,,,22.543527,114.057939
珠海,广东省,中国,,,22.271644,113.576892
江门,广东省,中国,,,22.578948,113.081548
阳江,广东省,中国,,,21.856853,111.98343
茂名,广东省,中国,,,21.662728,110.925533
湛江,广东省,中国,,,21.270108,110.357538
汕尾,广东省,中国,,,22.787204,115.375557
潮州,广东省,中国,,,23.657662,116.621901
揭阳,广东省,中国,,,23.550968,116.372732
广州,广东省,中国,,,23.130061,113.264499
梅州,广东省,中国,,,24.288832,116.122046
清远,广东省,中国,,,23.682064,113.056098
韶关,广东省,中国,,,24.810977,113.597324
河源,广东省,中国,,,23.744276,114.700215
云浮,广东省,中国,,,22.915163,112.044524
东莞,广东省,中国,,,23.021016,113.751884
中山,广东省,中国,,,22.517024,113.392517
乌海,内蒙古自治区,中国,,,39.655048,106.79415
巴彦淖尔,内蒙古自治区,中国,,,40.742987,107.387767
包头,内蒙古自治区,中国,,,40.621327,109.95315
呼伦贝尔,内蒙古自治区,中国,,,49.166536,119.77845
兴安盟,内蒙古自治区,中国,,,46.082373,122.037796
锡林郭勒盟,内蒙古自治区,中国,,,43.933212,116.047387
乌兰察布,内蒙古自治区,中国,,,40.994526,113.132227
阿拉善盟,内蒙古自治区,中国,,,38.851554,105.729135
鄂尔多斯,内蒙古自治区,中国,,,39.608744,109.782473
呼和浩特,内蒙古自治区,中国,,,40.842127,111.748814
赤峰,内蒙古自治区,中国,,,42.256876,118.887613
通辽,内蒙古自治区,中国,,,43.653566,122.243309
大兴安岭地区,黑龙江省,中国,,,50.41129,124.11786
鹤岗,黑龙江省,中国,,,47.350659,130.297687
黑河,黑龙江省,中国,,,50.244887,127.528226
牡丹江,黑龙江省,中国,,,44.551486,129.632928
伊春,黑龙江省,中国,,,47.728332,128.840863
鸡西,黑龙江省,中国,,,45.295087,130.969385
齐齐哈尔,黑龙江省,中国,,,47.354892,123.918193
绥化,黑龙江省,中国,,,46.654147,126.968714
大庆,黑龙江省,中国,,,46.589498,125.104078
哈尔滨,黑龙江省,中国,,,45.802981,126.53505
佳木斯,黑龙江省,中国,,,46.800002,130.318916
七台河,黑龙江省,中国,,,45.771178,131.003015
双鸭山,黑龙江省,中国,,,46.676157,131.141563
北屯,新疆维吾尔自治区,中国,,,47.326733,87.834419
双河,新疆维吾尔自治区,中国,,,44.846859,82.36895
铁门关,新疆维吾尔自治区,中国,,,41.862997,85.670291
可克达拉,新疆维吾尔自治区,中国,,,43.940381,80.994153
塔城地区,新疆维吾尔自治区,中国,,,46.745364,82.980316
昆玉,新疆维吾尔自治区,中国,,,37.215372,79.270193
和田地区,新疆维吾尔自治区,中国,,,37.114406,79.921646
阿勒泰地区,新疆维吾尔自治区,中国,,,47.844924,88.141253
石河子,新疆维吾尔自治区,中国,,,44.305368,86.080397
昌吉回族自治州,新疆维吾尔自治区,中国,,,44.011044,87.308995
巴音郭楞蒙古自治州,新疆维吾尔自治区,中国,,,41.764115,86.145298
博尔塔拉蒙古自治州,新疆维吾尔自治区,中国,,,44.906039,82.066363
伊犁哈萨克自治州,新疆维吾尔自治区,中国,,,43.917106,81.323691
阿拉尔,新疆维吾尔自治区,中国,,,40.547205,81.280532
喀什地区,新疆维吾尔自治区,中国,,,39.470215,75.990618
