parent,pcode,keytag,type,photos,building,typecode,poiweight,citycode,adname,children,featured_reviews_remake,tel,id,tag,entr_location,adcode,pname,biz_type,cityname,postcode,business_area,childtype,atag,name,shopid,favorite_num,navi_poiid,distance,importance,biz_ext,recommend,discount_num,gridcode,shopinfo,alias,event,indoor_map,email,timestamp,website,address,space_num,match,indoor_data,exit_location,location,groupbuy_num,featured_reviews,_city_name,_city_adcode
[],410000,快捷酒店,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/216a42f98c621e3c415f309304ff90fa'}, {'provider': [], 'title': '标准间', 'url': 'https://store.is.autonavi.com/showpic/76d8b50d83fb7ca3bdc6a1a5a5796ffc'}, {'provider': [], 'title': '公共区域', 'url': 'https://store.is.autonavi.com/showpic/1321a7a75608a7ad240be0baf390d492'}]",[],100100,[],0379,嵩县,[],[],0379-66316631,B017B01VLZ,[],"112.092930,34.135404",410325,河南省,hotel,洛阳市,[],嵩县百货楼,[],[],春天快捷酒店(金城路),[],[],I49F023033_981,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.8', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112106701,0,[],[],0,[],2026-07-14 11:03:44,[],金城路东段大加油站东50米,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.092757,34.135474",0,[],洛阳,410300
[],410000,经济型,住宿服务;宾馆酒店;三星级宾馆,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/0179d44b0f78483b366d42d863628bc2'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B01JBP/comment/31bf24efc18d17976befe72679a304d2_2048_2048_80.jpg'}, {'provider': [], 'title': '悠庐·豪华套房', 'url': 'https://store.is.autonavi.com/showpic/e4b6b2b85553f579325260b29de01e45'}]",[],100104,[],0379,涧西区,[],[],0379-65087999,B017B01JBP,[],"112.391827,34.666616",410305,河南省,hotel,洛阳市,471003,上海市场,[],[],洛阳饭店,[],[],I49F016036_843,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.1', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112739121,0,[],[],0,[],2026-07-13 16:48:04,[],中州西路117号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.391896,34.666183",0,[],洛阳,410300
[],410000,经济型,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/AEAA55239AC94B4586B06191576BB642'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/4ae3f6c26291362c0000000950264642?type=pic'}, {'provider': [], 'title': '精选大床房', 'url': 'http://store.is.autonavi.com/showpic/9a52477c11ccc455990b541e75d6ad71'}]",[],100100,[],0379,西工区,[],[],0379-63566888;0379-65290888;17657573618,B0FFIBM2H6,[],"112.434496,34.679221",410303,河南省,hotel,洛阳市,[],新都汇,[],[],洛阳麒御酒店,[],[],[],[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.8', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5212031412,1,[],[],0,[],2026-07-14 08:41:37,[],解放路19号(纱厂路地铁站E口步行170米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.434510,34.679193",0,[],洛阳,410300
[],410000,经济型,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/bb07d7004c458934c7cf652c15f02a2e'}, {'provider': [], 'title': '标间', 'url': 'https://store.is.autonavi.com/showpic/d7ecf8df6315ddc846791cfb52f1257e'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/dd65655a764408b313f0feeacd948f6e'}]",[],100200,[],0379,宜阳县,[],[],0379-68885588,B017B02XIA,[],"112.177181,34.517633",410327,河南省,hotel,洛阳市,[],锦花购物广场,[],[],宜阳蓝天旅社,[],[],I49F018034_957,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.6', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112612400,0,[],[],0,[],2026-07-13 16:49:38,[],文化路23-5号(锦花购物广场),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.177009,34.517610",0,[],洛阳,410300
[],410000,旅馆,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/4d3e2dd2035df874da54fb934e9e390e'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/d9a3847e16e558095d7a5a1a562bf123'}, {'provider': [], 'title': '标准间', 'url': 'https://store.is.autonavi.com/showpic/99115b291b78bcd6a073946a7a0fc140'}]",[],100200,[],0379,涧西区,[],[],15324791419,B017B0OY24,[],"112.378965,34.662413",410305,河南省,hotel,洛阳市,[],[],[],[],洛阳云龙旅馆,[],[],I49F017035_926,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.5', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112739010,0,[],[],0,[],2026-07-15 02:04:32,[],西苑路99号(长安路地铁站E口步行170米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.378983,34.662334",0,[],洛阳,410300
[],410000,经济型,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/05e2fbcab5e45dc35fbec9aa269bd4f7'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/da3525aec8d972593e39453fd02da072'}, {'provider': [], 'title': '三人间', 'url': 'http://store.is.autonavi.com/showpic/b076b6ed3da87a06e30fb85d23a98fcb'}]",[],100100,[],0379,涧西区,[],[],0379-64922078;15716669998;18211955717,B0FFIM43ND,[],"112.38966728198731,34.65985163608472",410305,河南省,hotel,洛阳市,[],上海市场,[],[],洛阳市涧西区彩云宾馆,[],[],[],[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.1', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112739100,0,[],[],0,[],2026-07-13 16:46:32,[],湖南路11号(卓阳科技园对面、三达公寓旁边),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.389675,34.660025",0,[],洛阳,410300
B017B02SZS,410000,经济型,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': '客房', 'url': 'https://store.is.autonavi.com/showpic/185bc2f809ba6be5df9cf216ef687696'}, {'provider': [], 'title': '安來三人间', 'url': 'https://store.is.autonavi.com/showpic/ebbdc396e8d4a50d8519c4273c9c1bb6'}, {'provider': [], 'title': '安來三人间', 'url': 'https://store.is.autonavi.com/showpic/958ba9dcb43301506329d297092c5bfb'}]",[],100100,[],0379,西工区,[],[],0379-60166399,B0FFFF7UNI,[],"112.42702595714776,34.69601990927387",410303,河南省,hotel,洛阳市,[],[],202,[],洛达快捷酒店,[],[],I49F016036_46884,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.4', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5212033410,0,[],[],0,[],2026-07-13 16:57:19,[],状元红路2号(国花路地铁站B口步行130米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.427127,34.695997",0,[],洛阳,410300
[],410000,旅馆,住宿服务;旅馆招待所;旅馆招待所|住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': '酒店外观', 'url': 'https://store.is.autonavi.com/showpic/aedf623b867548010c36c00e093f627e'}, {'provider': [], 'title': '外观', 'url': 'https://store.is.autonavi.com/showpic/b1c53910016208118b8a1e2aaad45601'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/34710f1030238ce3bc64f3d3442d1ce0'}]",[],100200|100100,[],0379,涧西区,[],[],15838806195,B017B01UQW,[],"112.387044,34.659922",410305,河南省,hotel,洛阳市,[],上海市场,[],[],洛阳明珠宾馆,[],[],I49F017036_13076,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.3', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5112739002,1,[],[],0,[],2026-07-13 16:47:33,[],李家村南街62号(地铁上海市场站E口),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.387139,34.659898",0,[],洛阳,410300
[],410000,旅馆,住宿服务;宾馆酒店;宾馆酒店,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/39e52ac174fea85ba873fe0828d81e80'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/25e5dc2cf01a6848eab02902912610d4'}, {'provider': [], 'title': '普通单人间', 'url': 'https://store.is.autonavi.com/showpic/fc198e9114df07fd520119bdfa5d0ccf'}]",[],100100,[],0379,瀍河回族区,[],[],15937942454,B017B02EAE,[],[],410304,河南省,hotel,洛阳市,[],东花坛,[],[],花园宾馆(正骨医院店),[],[],I49F016036_17277,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.2', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5212043000,0,[],[],0,[],2026-07-13 16:51:15,[],启明南路74号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.502329,34.693811",0,[],洛阳,410300
[],410000,经济型,住宿服务;旅馆招待所;旅馆招待所,"[{'provider': [], 'title': 'Logo', 'url': 'https://store.is.autonavi.com/showpic/fe88c23ac12eae746b38405c3963963c'}, {'provider': [], 'title': '外观', 'url': 'https://store.is.autonavi.com/showpic/3457ea804ff9701624701928eebb6911'}, {'provider': [], 'title': '豪华双床房', 'url': 'https://store.is.autonavi.com/showpic/b3e707eb558ff349c71060232213de62'}]",[],100200,[],0379,偃师区,[],[],13523626192,B017B0PWR0,[],"112.790695,34.720506",410307,河南省,hotel,洛阳市,[],槐新,[],[],偃师金福客房,[],[],I49F016039_4402,[],[],"{'cost': [], 'star': [], 'opentime2': [], 'rating': '4.2', 'lowest_price': [], 'hotel_ordering': '1', 'open_time': []}",0,0,5212066310,1,[],[],0,[],2026-07-13 16:51:53,[],城关镇洛神路与安泰巷交叉口向南50米,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.790616,34.720594",0,[],洛阳,410300
