parent,pcode,keytag,type,photos,building,typecode,poiweight,citycode,adname,children,featured_reviews_remake,tel,id,tag,entr_location,adcode,pname,biz_type,cityname,postcode,business_area,childtype,atag,name,shopid,favorite_num,navi_poiid,distance,importance,biz_ext,recommend,discount_num,gridcode,shopinfo,alias,event,indoor_map,email,timestamp,website,address,space_num,match,indoor_data,exit_location,location,groupbuy_num,featured_reviews,_city_name,_city_adcode
[],410000,食品公司,餐饮服务;糕饼店;糕饼店,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/47fc9f661b5c78900b072a59cd3a8df1'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/f97a1b011918a8424a2378e100b23e20'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5df583449323d17f84149eecbda580aa'}]",[],050800,[],0379,洛宁县,[],[],18638810060,B0KAFHHQAG,[],"111.655809,34.391415",410328,河南省,diner,洛阳市,[],[],[],[],洛阳兜兜匠烘焙食品有限公司,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周五 07:00-21:00；周六至周日 09:00-21:00', 'rating': [], 'open_time': '09:00-21:00', 'meal_ordering': '0'}",0,0,5111456221,1,[],[],0,[],2026-06-28 15:21:46,[],公安路北二小旁农贸市场内,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"111.655709,34.391301",0,[],洛阳,410300
[],410000,公司,公司企业;公司;公司,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/686bb93382baf8962456f47964df8e28'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/1e341c17b53f43b1dc6cc236f2659bdc'}]",[],170200,[],0379,洛宁县,[],[],[],B0LUU5QLL2,[],"111.669750,34.385955",410328,河南省,[],洛阳市,[],[],[],[],洛宁智城餐饮服务有限公司,[],[],[],[],[],"{'cost': [], 'opentime2': [], 'rating': [], 'open_time': []}",0,0,5111456301,1,[],[],0,[],2026-07-04 05:50:29,[],[],[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"111.669730,34.386056",0,[],洛阳,410300
[],410000,农家菜,餐饮服务;餐饮相关场所;餐饮相关,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c89c740b7d6a3687daea0355961ac7d2'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/6a40e1bacc3db44c996482230996bd69'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0LB47HQOH/comment/file_media_Photo_6060_IMG_1758168766_5399_image_1758168665973_jpg.jpg'}]",[],050000,[],0379,栾川县,[],[],[],B0LB47HQOH,[],"111.609390,33.781464",410324,河南省,diner,洛阳市,[],君山西路,[],[],栾川县渝见你餐饮农家院,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 10:30-23:30', 'rating': '4.0', 'open_time': '10:30-23:30', 'meal_ordering': '0'}",0,0,5011543822,0,[],[],0,[],2026-07-02 18:38:15,[],[],[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"111.609225,33.781475",0,[],洛阳,410300
[],410000,公司,公司企业;公司;公司,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/2e798bf3e16ca19364022a9a5321cbb8'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/191b05e390c78e0e6132495f69ceb31d'}]",[],170200,[],0379,嵩县,[],[],0379-61181753,B0LBYSRNQE,[],"112.090833,34.152876",410325,河南省,[],洛阳市,[],[],[],[],洛阳嵩州餐饮服务有限公司,[],[],[],[],[],"{'cost': [], 'opentime2': [], 'rating': [], 'open_time': []}",0,0,5112108700,0,[],[],0,[],2026-07-06 11:42:47,[],天城路(洛阳市中医药学校西南侧约200米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.090425,34.152725",0,[],洛阳,410300
[],410000,特色菜系,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/1c9301df16320fa239f4507281ace7b1'}]",[],050100,[],0379,宜阳县,[],[],13383870917,B0MAZSDQE4,[],"112.202756,34.516056",410327,河南省,diner,洛阳市,[],[],[],[],小街餐饮店(锦屏镇高桥村育才小街8号店),[],[],[],[],[],"{'cost': '41.00', 'opentime2': '周一至周日 06:30-08:30，18:00-20:15', 'rating': '4.0', 'open_time': '06:30-08:30 18:00-20:15', 'meal_ordering': '0'}",0,0,5112611620,0,[],[],0,[],2026-07-14 19:26:21,[],锦屏镇高桥村育才小街8号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.202688,34.516084",0,[],洛阳,410300
[],410000,中餐,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/91f19b9bd63db2eaa976411da30d3325'}]",[],050100,[],0379,嵩县,[],[],[],B0L1NLXJ5L,[],"112.189854,34.196478",410325,河南省,diner,洛阳市,[],[],[],[],水岸静舍餐饮部,[],[],[],[],[],"{'cost': '45.00', 'opentime2': '周一至周日 00:00-24:00', 'rating': '3.6', 'open_time': '24小时营业', 'meal_ordering': '0'}",0,0,5112213510,0,[],[],0,[],2026-07-03 11:16:59,[],陆浑水库管理局水库管理处西北侧70米,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.190047,34.196477",0,[],洛阳,410300
[],410000,公司,公司企业;公司;公司,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/0599524b670503d34d2fec23d4618249'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/72860f313d1b796e1fb402a468f1b4ce'}]",[],170200,[],0379,涧西区,[],[],13937991900,B0KDCROM5W,[],"112.334339,34.592576",410305,河南省,[],洛阳市,[],[],[],[],洛阳好柿餐饮管理有限公司,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 08:00-17:30', 'rating': [], 'open_time': '08:00-17:30'}",0,0,5112721602,0,[],[],0,[],2026-07-04 10:49:52,[],爱民路6号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.334533,34.592652",0,[],洛阳,410300
B0IU3KDYEB,410000,中餐,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/3051e7616476f34526095db42f56e3f7'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/b96bc168af3847df2c693179261a5ffe'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KBTC3B1N/comment/content_media_external_file_121732_ss__1764849471826_10740905.jpg'}]",[],050100,[],0379,涧西区,[],[],13598486697,B0KBTC3B1N,[],[],410305,河南省,diner,洛阳市,[],[],202,[],湘聚福餐饮店,[],[],[],[],[],"{'cost': '15.00', 'opentime2': '周一至周日 10:00-22:00', 'rating': '4.1', 'open_time': '10:00-22:00', 'meal_ordering': '0'}",0,0,5112723812,0,[],[],0,[],2026-07-13 12:01:15,[],华夏西路路劲御城南区1幢1一2一105号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.361655,34.611526",0,[],洛阳,410300
[],410000,清真菜,餐饮服务;中餐厅;清真菜馆,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/c726bcc4af22a37b13b9ccdcc549159f'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/97d76cceb78102cdab36b742ab892104'}]",[],050121,[],0379,西工区,[],[],18530169911,B0L3SZ34KK,"牛肉丸子汤,牛肉水饺,丸子汤","112.391018,34.708895",410303,河南省,diner,洛阳市,[],[],[],"牛肉丸子汤,牛肉水饺,丸子汤",清真伊顺餐饮,[],[],[],[],[],"{'cost': '15.00', 'opentime2': '周一至周日 10:00-15:00', 'rating': '3.8', 'open_time': '10:00-15:00', 'meal_ordering': '0'}",0,0,5212035100,0,[],[],0,[],2026-07-02 01:40:20,[],国宝红瞰66-107,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.390963,34.708890",0,[],洛阳,410300
[],410000,中餐,餐饮服务;中餐厅;中餐厅,"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/5f4a805aaaa567d857fccfd04d0d5325'}]",[],050100,[],0379,孟津区,[],[],0379-67900088,B0KD6CJ71U,[],"112.42942252225792,34.83704874896741",410308,河南省,diner,洛阳市,[],[],[],[],熙园融合餐饮,[],[],[],[],[],"{'cost': '79.00', 'opentime2': '周一至周日 10:00-22:00', 'rating': '3.7', 'open_time': '10:00-22:00', 'meal_ordering': '0'}",0,0,5212230411,0,[],[],0,[],2026-07-03 16:25:27,[],黄河大道与龙马路交叉口向北100米菲耶达汽修隔壁,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.429536,34.837014",0,[],洛阳,410300
