parent,pcode,keytag,type,photos,building,typecode,poiweight,citycode,adname,children,featured_reviews_remake,tel,id,tag,entr_location,adcode,pname,biz_type,cityname,postcode,business_area,childtype,atag,name,shopid,favorite_num,navi_poiid,distance,importance,biz_ext,recommend,discount_num,gridcode,shopinfo,alias,event,indoor_map,email,timestamp,website,address,space_num,match,indoor_data,exit_location,location,groupbuy_num,featured_reviews,_city_name,_city_adcode
[],410000,4A景区,风景名胜;公园广场;植物园,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/be161a7abef1c495b8b82ef132b28c15'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/cbcec979827baae94646d25146948d1d'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/74ef4ec0e70a2f93d4031d0e18fb8206'}]",[],110103,[],0379,洛龙区,[],[],0379-65917101,B017B030FA,[],"112.453072,34.629843",410311,河南省,tour,洛阳市,[],[],[],[],隋唐城遗址植物园,[],[],I49F017036_53669,[],[],"{'cost': [], 'opentime2': '周一至周日 06:00-22:00', 'rating': '4.7', 'open_time': '06:00-22:00', 'ticket_ordering': '0'}",0,0,5112736502,2,[],[],0,[],2026-07-15 08:52:44,www.stzwy.com,王城大道281号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.448335,34.635398",0,[],洛阳,410300
[],410000,博物馆,科教文化服务;博物馆;博物馆,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/25295da6d28adf1f9e16f70384ddd95f'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/53852081140be6b49dfec7ca4605b669'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/a776ea37102d9416f5ee141278aadfad'}]",[],140100,[],0379,洛龙区,[],[],17503793368,B017B0PPZT,[],"112.453505,34.642109",410311,河南省,[],洛阳市,[],[],[],[],洛阳博物馆,[],[],I49F017036_18870,[],[],"{'cost': [], 'opentime2': '05/18 09:00-19:00开放 最晚进入18:30；04/01-04/30 09:00-19:00开放 最晚进入18:30；05/06-05/17 周一 全天不开放；05/19-12/31 周一 全天不开放；05/06-05/17 周二-周日 09:00-19:00开放 最晚进入18:30；05/19-12/31 周二-周日 09:00-19:00开放 最晚进入18:30；劳动节,端午节,中秋节,国庆节 09:00-19:00开放 最晚进入18:30', 'rating': '4.9', 'open_time': []}",0,0,5112737600,0,[],[],1,[],2026-07-15 01:48:01,[],聂泰路6号,[],0,"{'cmsid': 'TY001371', 'truefloor': [], 'cpid': 'B017B0PPZT', 'floor': []}",[],"112.451541,34.643323",0,[],洛阳,410300
[],410000,公园,风景名胜;公园广场;公园,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B01HYF/comment/content_media_external_images_media_14636193_ss_2_1687411357610_70ba6267.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B01HYF/comment/content_media_external_file_143548_1771906470494_51562669.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B01HYF/comment/content_media_external_file_143548_1771906470486_37797093.jpg'}]",[],110101,[],0379,洛龙区,[],[],[],B017B01HYF,[],"112.436382,34.61761",410311,河南省,tour,洛阳市,[],[],[],[],体育公园,[],[],I49F017036_1588,[],[],"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.4', 'open_time': '24小时营业', 'ticket_ordering': '0'}",0,0,5112734412,2,[],[],0,[],2026-06-15 21:34:39,[],开元大道(体育中心地铁站A1口步行260米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.435579,34.620466",0,[],洛阳,410300
[],410000,4A景区,风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/60a4850c009e371eb1a440ce7162a336'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f5b16daa94d6d15611ab530020ac5c9e'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B01ONY/headerImg/content_media_external_images_media_471808_1657249097936_8d5cf261.jpg'}]",[],110000,[],0379,洛龙区,[],[],0379-69865181,B017B01ONY,[],"112.481341,34.606088",410311,河南省,tour,洛阳市,[],关林,[],[],关林景区,[],[],I49F017036_53692,[],[],"{'cost': [], 'opentime2': '08:30-18:00,冬季 08:30-17:30', 'rating': '4.7', 'open_time': [], 'ticket_ordering': '0'}",0,0,5112732822,2,关林庙,[],0,[],2026-07-15 08:46:02,www.guanlinmiao.com,关林镇关林南街2号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.483366,34.607419",0,[],洛阳,410300
B0L33CAP83,410000,"风景名胜,风景名胜,风景名胜",风景名胜;风景名胜;风景名胜,"[{'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/2ac4bd0493842d790000003044702703?type=pic'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/ed8b7bd32b517f5a0000001587852520?type=pic'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0KD5UXNKQ/comment/29435A25_A07A_4906_9501_97B83CD408B1_L0_001_2000_150_1764375447168_77314985.jpg'}]",[],110200,[],0379,洛龙区,[],[],[],B0KD5UXNKQ,[],"112.476051,34.62959",410311,河南省,tour,洛阳市,[],[],301,[],神都十三坊,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.6', 'open_time': '24小时营业', 'ticket_ordering': '0'}",0,0,5112735712,2,[],[],0,[],2026-07-15 08:47:27,[],古城路辅路与龙门大道辅路交叉口东南220米,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.474474,34.629233",0,[],洛阳,410300
[],410000,广场,风景名胜;风景名胜;风景名胜,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFIZGOTC/comment/6bb65c6235433ddf145406594ad45850_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFIZGOTC/comment/d4ff0ceef0db38ccad6a4807dda2cc43_2048_2048_80.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0FFIZGOTC/comment/content_media_external_images_media_1000009627_ss__1739237677638_90582216.jpg'}]",[],110200,[],0379,洛龙区,[],[],[],B0FFIZGOTC,[],"112.466874,34.627176",410311,河南省,tour,洛阳市,[],[],[],[],定鼎门南广场,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.6', 'open_time': '24小时营业', 'ticket_ordering': '0'}",0,0,5112735711,2,[],[],0,[],2026-07-03 02:14:00,[],龙门大道436号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.466927,34.629784",0,[],洛阳,410300
B0HKOHI3AW,410000,4A景区,风景名胜;公园广场;公园,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8544705d1d7005f961ae71d29d701cbf'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/391e873734f8ded77cde63acf185f054'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/634cef822105d31408d63b8f1079225f'}]",[],110101,[],0379,西工区,[],[],0379-60658081;0379-61109905;0379-65063201,B017B0OWGA,[],"112.459257,34.678763",410303,河南省,tour,洛阳市,[],老城,301,[],隋唐洛阳城国家遗址公园,[],[],I49F016036_31811,[],[],"{'cost': [], 'opentime2': '周一至周日 09:00-23:00 最晚进入22:30', 'rating': '4.7', 'open_time': '09:00-23:00', 'ticket_ordering': '0'}",0,0,5212031621,2,紫微城遗址,[],0,[],2026-07-15 09:10:37,[],定鼎路与中州路交汇处(应天门地铁站C2口步行220米),[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.460318,34.679369",0,[],洛阳,410300
[],410000,城市公园,风景名胜;公园广场;公园,"[{'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0G0DY5IZX/comment/20260322-f1cb50e1c50fb71c843dec8b-s9lSvt8iuUAWdQjCPA4Ul.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0G0DY5IZX/comment/177216685493_1772166859180_34702972.jpg'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B0G0DY5IZX/comment/content_media_external_images_media_1000023985_ss__1768292938789_10887675.jpg'}]",[],110101,[],0379,洛龙区,[],[],0379-63237879,B0G0DY5IZX,[],"112.457562,34.636972",410311,河南省,tour,洛阳市,[],[],[],[],从政坊游园,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 06:30-22:00', 'rating': '4.7', 'open_time': '06:30-22:00', 'ticket_ordering': '0'}",0,0,5112736601,2,[],[],0,[],2026-07-15 08:45:16,[],永通门里坊展示路,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.457846,34.634196",0,[],洛阳,410300
[],410000,5A景区,风景名胜;风景名胜;世界遗产,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/90fc4281626b617c1fc0d347e782bfd0'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B017B00X4D/comment/content_media_external_file_1000025984_ss__1766842954599_93051509.jpg'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/6a0c360aaf9bc273a827380fdd27874e'}]",[],110201,[],0379,洛龙区,[],[],0379-65980972,B017B00X4D,[],"112.475295,34.56849",410311,河南省,tour,洛阳市,[],龙门石窟,[],[],龙门石窟,[],[],I49F018036_9,[],[],"{'cost': [], 'opentime2': '周一至周日 08:00-21:00', 'rating': '4.8', 'open_time': '08:00-21:00', 'ticket_ordering': '0'}",0,0,5112637702,2,[],[],0,[],2026-07-15 06:49:00,www.lmsk.cn,龙门中街13号,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.477463,34.558782",0,[],洛阳,410300
[],410000,景区,风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/c2db744db6372fe879e60d0f1cf0efda'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/0d3284157a16f3512d2ac3f5da812595'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/38a2c685ffe71e8906c2e622c5da0381'}]",[],110000,[],0379,洛龙区,[],[],4000379800,B0H64SGHXJ,[],"112.448539,34.594648",410311,河南省,tour,洛阳市,[],[],[],[],洛阳大河荟,[],[],[],[],[],"{'cost': [], 'opentime2': '周一至周日 10:00-22:00', 'rating': '4.6', 'open_time': '10:00-22:00', 'ticket_ordering': '0'}",0,0,5112731600,2,[],[],0,[],2026-07-15 09:14:00,[],金城寨街与通衢路交叉口东南200米,[],0,"{'cmsid': [], 'truefloor': [], 'cpid': [], 'floor': []}",[],"112.450074,34.593370",0,[],洛阳,410300
